,Given Stock,Symbol,ISIN,Status,Date of Listing,Basic Industry,Sectoral Index,Macro-Economic Sector,Sector,Industry
555,FMGOETZE,FMGOETZE,INE529A01010,Listed,08-Feb-1995,Auto Components & Equipments,NIFTY AUTO                                        ,Consumer Discretionary,Automobile and Auto Components,Auto Components
556,FMNL,FMNL,INE360L01017,Listed,31-Dec-2010,Diversified Commercial Services,NIFTY 500                                         ,Services,Services,Commercial Services & Supplies
557,FOCUS,FOCUS,INE593W01010,Listed,24-Nov-2021,Consumer Electronics,NA,Consumer Discretionary,Consumer Durables,Consumer Durables
558,FOODSIN,FOODSIN,INE976E01023,Listed,16-Nov-2021,Packaged Foods,NA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products
559,FORCEMOT,FORCEMOT,INE451A01017,Permitted to trade,03-Nov-1994,Passenger Cars & Utility Vehicles,NA,Consumer Discretionary,Automobile and Auto Components,Automobiles
560,FORTIS,FORTIS,INE061F01013,Listed,09-May-2007,Hospital,NIFTY PHARMA                                      ,Healthcare,Healthcare,Healthcare Services
561,FOSECOIND,FOSECOIND,INE519A01011,Listed,05-May-2003,Specialty Chemicals,NIFTY 500                                         ,Commodities,Chemicals,Chemicals & Petrochemicals
562,FROG,FROG,INE385O01018,Listed,13-Oct-2022,Telecom - Equipment & Accessories,NA,Telecommunication,Telecommunication,Telecom - Equipment & Accessories
563,FSC,FSC,INE935Q01015,Listed,18-Dec-2017,Logistics Solution Provider,NIFTY 500                                         ,Services,Services,Transport Services
564,FSL,FSL,INE684F01012,Listed,22-Feb-2007,IT Enabled Services,NIFTY IT                                          ,Information Technology,Information Technology,IT - Services
565,GABRIEL,GABRIEL,INE524A01029,Listed,20-Apr-2005,Auto Components & Equipments,NIFTY AUTO                                        ,Consumer Discretionary,Automobile and Auto Components,Auto Components
566,GAEL,GAEL,INE036B01030,Listed,11-Oct-2000,Other Agricultural Products,NIFTY FMCG                                        ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
567,GAIL,GAIL,INE129A01019,Listed,02-Apr-1997,Gas Transmission/Marketing,NIFTY 500                                         ,Energy,Oil Gas & Consumable Fuels,Gas
568,GAL,GAL,INE482J01021,Listed,27-Oct-2010,Iron & Steel Products,NIFTY METAL                                       ,Industrials,Capital Goods,Industrial Products
569,GALAXYSURF,GALAXYSURF,INE600K01018,Listed,08-Feb-2018,Specialty Chemicals,NIFTY 500                                         ,Commodities,Chemicals,Chemicals & Petrochemicals
570,GALLANTT,GALLANTT,INE297H01019,Listed,04-Apr-2006,Iron & Steel Products,NIFTY METAL                                       ,Industrials,Capital Goods,Industrial Products
571,GANDHITUBE,GANDHITUBE,INE524B01027,Listed,31-Jan-2007,Iron & Steel Products,NIFTY METAL                                       ,Industrials,Capital Goods,Industrial Products
572,GANECOS,GANECOS,INE845D01014,Listed,09-Mar-2015,Other Textile Products,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
573,GANESHBE,GANESHBE,INE388A01029,Listed,16-Sep-2021,Oil Storage & Transportation,NA,Energy,Oil Gas & Consumable Fuels,Oil
574,GANESHHOUC,GANESHHOUC,INE460C01014,Listed,02-Mar-2007,Residential Commercial Projects,NIFTY REALTY                                      ,Consumer Discretionary,Realty,Realty
575,GANGAFORGE,GANGAFORGE,INE691Z01023,Listed,06-Jul-2021,Castings & Forgings,NA,Industrials,Capital Goods,Industrial Products
576,GANGESSECU,GANGESSECU,INE335W01016,Listed,28-Jul-2017,Investment Company,NIFTY FINANCIAL SERVICES                          ,Financial Services,Financial Services,Finance
577,GARFIBRES,GARFIBRES,INE276A01018,Listed,03-Apr-2007,Other Textile Products,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
578,GATEWAY,GATEWAY,INE079J01017,Listed,22-Mar-2022,Logistics Solution Provider,NA,Services,Services,Transport Services
579,GATI,GATI,INE152B01027,Listed,10-Oct-2006,Logistics Solution Provider,NIFTY INFRASTRUCTURE                              ,Services,Services,Transport Services
580,GAYAHWS,GAYAHWS,INE287Z01012,Listed,28-Jun-2018,Civil Construction,NIFTY INFRASTRUCTURE                              ,Industrials,Construction,Construction
581,GAYAPROJ,GAYAPROJ,INE336H01023,Listed,22-Aug-2011,Civil Construction,NIFTY INFRASTRUCTURE                              ,Industrials,Construction,Construction
582,GEECEE,GEECEE,INE916G01016,Listed,04-Oct-2006,Residential Commercial Projects,NIFTY 500                                         ,Consumer Discretionary,Realty,Realty
